주문ID,주문일,채널,상품ID,상품명,시리즈,카테고리,수량,단가,할인액,판매가,주문금액,수수료율,수수료,원가합계,영업이익,주문상태,유입경로
ORD-2601-0025,2026-01-13,자사몰,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.035,770,7500,13730,완료,기타
ORD-2602-0026,2026-02-23,네이버,PRD-007,접이식 우산,Happier Label,우산,1,28000,0,28000,28000,0.12,3360,11000,13640,완료,추천
ORD-2601-0027,2026-01-19,네이버,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,3,12000,0,12000,36000,0.12,4320,14400,17280,완료,네이버검색
ORD-2602-0028,2026-02-22,텐바이텐,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.18,900,1200,2900,완료,텐바이텐
ORD-2602-0029,2026-02-14,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2601-0030,2026-01-05,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,교환,카카오선물하기
ORD-2602-0031,2026-02-19,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2601-0032,2026-01-08,네이버,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.12,1800,5200,8000,완료,추천
ORD-2602-0033,2026-02-22,텐바이텐,PRD-017,데일리 노트 B5,PART PART,노트,4,11000,0,11000,44000,0.18,7920,13200,22880,완료,텐바이텐
ORD-2603-0034,2026-03-24,네이버,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.12,960,2400,4640,완료,추천
ORD-2602-0035,2026-02-09,핫트랙스,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.25,2000,2400,3600,교환,핫트랙스
ORD-2602-0036,2026-02-21,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,2,22000,0,22000,44000,0.05,2200,14400,27400,교환,쇼피파이
ORD-2601-0037,2026-01-23,핫트랙스,PRD-009,레터 키링 - A~Z,MNNS,키링,2,8000,0,8000,16000,0.25,4000,4800,7200,완료,핫트랙스
ORD-2601-0038,2026-01-26,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,3,22000,0,22000,66000,0.05,3300,21600,41100,완료,쇼피파이
ORD-2603-0039,2026-03-28,네이버,PRD-020,스티커 세트 - 데일리,PART PART,스티커,2,5000,0,5000,10000,0.12,1200,2400,6400,완료,추천
ORD-2601-0040,2026-01-14,자사몰,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,2,18000,0,18000,36000,0.035,1260,11600,23140,완료,인스타그램
ORD-2602-0041,2026-02-13,텐바이텐,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.18,2520,4200,7280,완료,텐바이텐
ORD-2603-0042,2026-03-08,자사몰,PRD-013,보조배터리 10000mAh,MNNS,전자소품,1,42000,0,42000,42000,0.035,1470,19000,21530,완료,직접유입
ORD-2601-0043,2026-01-09,자사몰,PRD-017,데일리 노트 B5,PART PART,노트,1,11000,0,11000,11000,0.035,385,3300,7315,완료,기타
ORD-2601-0044,2026-01-19,자사몰,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,2,18000,900,17100,34200,0.035,1197,12600,20403,완료,인스타그램
ORD-2601-0045,2026-01-28,자사몰,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.035,175,1200,3625,완료,인스타그램
ORD-2602-0046,2026-02-13,카카오선물하기,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.3,5400,6300,6300,교환,카카오선물하기
ORD-2601-0047,2026-01-14,29CM,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,2,22000,0,22000,44000,0.2,8800,15000,20200,완료,29CM
ORD-2603-0048,2026-03-26,29CM,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.2,3800,7200,8000,완료,29CM
ORD-2602-0049,2026-02-22,네이버,PRD-026,코튼 러그 - S,오롤리데이,러그,1,38000,0,38000,38000,0.12,4560,15000,18440,취소,네이버검색
ORD-2602-0050,2026-02-28,29CM,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.2,2800,4500,6700,완료,29CM
ORD-2601-0051,2026-01-21,29CM,PRD-004,에코백 - 내추럴,Happier Label,가방,2,25000,3750,21250,42500,0.2,8500,17000,17000,완료,29CM
ORD-2603-0052,2026-03-15,자사몰,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,2,12000,0,12000,24000,0.035,840,9600,13560,완료,직접유입
ORD-2602-0053,2026-02-27,핫트랙스,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.25,10500,12600,18900,완료,핫트랙스
ORD-2601-0054,2026-01-21,자사몰,PRD-035,해피어마트 한정 에코백,해피어마트,가방,1,29000,0,29000,29000,0.035,1015,10500,17485,완료,인스타그램
ORD-2603-0055,2026-03-03,자사몰,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,1,24000,0,24000,24000,0.035,840,8000,15160,완료,인스타그램
ORD-2603-0056,2026-03-13,핫트랙스,PRD-009,레터 키링 - A~Z,MNNS,키링,3,8000,0,8000,24000,0.25,6000,7200,10800,교환,핫트랙스
ORD-2601-0057,2026-01-25,네이버,PRD-029,실내화 - 그레이,오롤리데이,슬리퍼,4,19000,0,19000,76000,0.12,9120,28800,38080,완료,쇼핑라이브
ORD-2601-0058,2026-01-08,자사몰,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.035,770,7200,14030,완료,블로그검색
ORD-2601-0059,2026-01-20,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.3,4200,4200,5600,완료,카카오선물하기
ORD-2603-0060,2026-03-06,자사몰,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.035,770,7500,13730,완료,인스타그램
ORD-2603-0061,2026-03-16,자사몰,PRD-004,에코백 - 내추럴,Happier Label,가방,5,25000,0,25000,125000,0.035,4375,42500,78125,완료,기타
ORD-2601-0062,2026-01-01,카카오선물하기,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.3,4500,5200,5300,완료,카카오선물하기
ORD-2602-0063,2026-02-25,네이버,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.12,600,1200,3200,완료,기타
ORD-2601-0064,2026-01-01,핫트랙스,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.25,4500,5800,7700,완료,핫트랙스
ORD-2602-0065,2026-02-04,29CM,PRD-012,보조배터리 5000mAh,MNNS,전자소품,3,32000,0,32000,96000,0.2,19200,43500,33300,완료,29CM
ORD-2601-0066,2026-01-14,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,1,12000,0,12000,12000,0.3,3600,4200,4200,완료,카카오선물하기
ORD-2601-0067,2026-01-12,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,2,18000,0,18000,36000,0.3,10800,12000,13200,완료,카카오선물하기
ORD-2601-0068,2026-01-26,핫트랙스,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.25,3500,4200,6300,완료,핫트랙스
ORD-2601-0069,2026-01-03,자사몰,PRD-029,실내화 - 그레이,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.035,665,7200,11135,교환,카카오채널
ORD-2601-0070,2026-01-07,네이버,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.12,960,2400,4640,완료,네이버검색
ORD-2603-0071,2026-03-03,자사몰,PRD-027,코튼 러그 - M,오롤리데이,러그,1,52000,0,52000,52000,0.035,1820,21000,29180,완료,인스타그램
ORD-2601-0072,2026-01-23,자사몰,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.035,770,7500,13730,완료,직접유입
ORD-2601-0073,2026-01-09,자사몰,PRD-013,보조배터리 10000mAh,MNNS,전자소품,1,42000,0,42000,42000,0.035,1470,19000,21530,완료,직접유입
ORD-2601-0074,2026-01-19,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,5,22000,0,22000,110000,0.05,5500,36000,68500,완료,쇼피파이
ORD-2601-0075,2026-01-23,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2602-0076,2026-02-25,네이버,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.12,2280,7200,9520,완료,기타
ORD-2601-0077,2026-01-28,네이버,PRD-027,코튼 러그 - M,오롤리데이,러그,1,52000,0,52000,52000,0.12,6240,21000,24760,완료,네이버검색
ORD-2603-0078,2026-03-10,자사몰,PRD-016,데일리 노트 A5,PART PART,노트,1,9000,0,9000,9000,0.035,315,2700,5985,완료,인스타그램
ORD-2602-0079,2026-02-28,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.3,4200,4200,5600,완료,카카오선물하기
ORD-2603-0080,2026-03-07,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,2,16000,0,16000,32000,0.3,9600,11200,11200,완료,카카오선물하기
ORD-2601-0081,2026-01-15,29CM,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,2400,13600,13600,0.2,2720,5200,5680,완료,29CM
ORD-2601-0082,2026-01-09,29CM,PRD-026,코튼 러그 - S,오롤리데이,러그,1,38000,0,38000,38000,0.2,7600,15000,15400,완료,29CM
ORD-2601-0083,2026-01-09,텐바이텐,PRD-004,에코백 - 내추럴,Happier Label,가방,1,25000,0,25000,25000,0.18,4500,8500,12000,완료,텐바이텐
ORD-2603-0084,2026-03-15,자사몰,PRD-020,스티커 세트 - 데일리,PART PART,스티커,2,5000,0,5000,10000,0.035,350,2400,7250,완료,인스타그램
ORD-2601-0085,2026-01-09,자사몰,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,4,24000,0,24000,96000,0.035,3360,32000,60640,완료,직접유입
ORD-2601-0086,2026-01-02,29CM,PRD-007,접이식 우산,Happier Label,우산,1,28000,0,28000,28000,0.2,5600,11000,11400,완료,29CM
ORD-2602-0087,2026-02-14,네이버,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.12,2160,5800,10040,완료,쇼핑라이브
ORD-2601-0088,2026-01-25,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,1,18000,0,18000,18000,0.3,5400,6000,6600,완료,카카오선물하기
ORD-2603-0089,2026-03-27,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2602-0090,2026-02-25,자사몰,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.035,490,4500,9010,완료,기타
ORD-2602-0091,2026-02-08,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2602-0092,2026-02-05,네이버,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.12,1680,4200,8120,완료,네이버검색
ORD-2602-0093,2026-02-05,네이버,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,1,12000,0,12000,12000,0.12,1440,4800,5760,완료,추천
ORD-2603-0094,2026-03-11,핫트랙스,PRD-018,위클리 플래너,PART PART,플래너,2,14000,0,14000,28000,0.25,7000,9000,12000,완료,핫트랙스
ORD-2603-0095,2026-03-16,텐바이텐,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.18,3240,5800,8960,완료,텐바이텐
ORD-2602-0096,2026-02-11,텐바이텐,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,1,15000,0,15000,15000,0.18,2700,4800,7500,완료,텐바이텐
ORD-2602-0097,2026-02-23,핫트랙스,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.25,4500,5800,7700,완료,핫트랙스
ORD-2602-0098,2026-02-02,자사몰,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,3,18000,0,18000,54000,0.035,1890,17400,34710,완료,직접유입
ORD-2601-0099,2026-01-23,네이버,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,3,18000,0,18000,54000,0.12,6480,18900,28620,완료,네이버검색
ORD-2602-0100,2026-02-25,네이버,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.12,1680,4500,7820,완료,기타
ORD-2602-0101,2026-02-14,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2603-0102,2026-03-10,네이버,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.12,2640,7200,12160,완료,네이버검색
ORD-2601-0103,2026-01-28,네이버,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.12,2160,5800,10040,완료,네이버검색
ORD-2601-0104,2026-01-01,핫트랙스,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.25,10500,12600,18900,완료,핫트랙스
ORD-2601-0105,2026-01-19,네이버,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,2,22000,0,22000,44000,0.12,5280,14400,24320,완료,추천
ORD-2601-0106,2026-01-13,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,5,16000,0,16000,80000,0.3,24000,28000,28000,완료,카카오선물하기
ORD-2601-0107,2026-01-19,텐바이텐,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,3,12000,0,12000,36000,0.18,6480,12600,16920,완료,텐바이텐
ORD-2603-0108,2026-03-08,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.3,2400,2400,3200,완료,카카오선물하기
ORD-2602-0109,2026-02-22,텐바이텐,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,3,15000,0,15000,45000,0.18,8100,15600,21300,완료,텐바이텐
ORD-2602-0110,2026-02-24,자사몰,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.035,560,5200,10240,완료,블로그검색
ORD-2602-0111,2026-02-09,29CM,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,3,15000,0,15000,45000,0.2,9000,14400,21600,완료,29CM
ORD-2601-0112,2026-01-08,텐바이텐,PRD-020,스티커 세트 - 데일리,PART PART,스티커,4,5000,0,5000,20000,0.18,3600,4800,11600,완료,텐바이텐
ORD-2601-0113,2026-01-18,자사몰,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,2,22000,0,22000,44000,0.035,1540,15000,27460,완료,인스타그램
ORD-2601-0114,2026-01-01,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2602-0115,2026-02-23,네이버,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.12,2640,7200,12160,완료,네이버검색
ORD-2601-0116,2026-01-18,자사몰,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,1,12000,0,12000,12000,0.035,420,4800,6780,완료,직접유입
ORD-2603-0117,2026-03-21,자사몰,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.035,770,7200,14030,완료,인스타그램
ORD-2601-0118,2026-01-22,네이버,PRD-029,실내화 - 그레이,오롤리데이,슬리퍼,5,19000,0,19000,95000,0.12,11400,36000,47600,완료,네이버검색
ORD-2603-0119,2026-03-15,자사몰,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.035,770,7200,14030,취소,인스타그램
ORD-2601-0120,2026-01-19,자사몰,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.035,770,7200,14030,완료,직접유입
ORD-2601-0121,2026-01-05,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,2,22000,0,22000,44000,0.05,2200,14400,27400,완료,쇼피파이
ORD-2601-0122,2026-01-26,자사몰,PRD-021,스티커 세트 - 시즌,PART PART,스티커,1,5000,0,5000,5000,0.035,175,1200,3625,완료,인스타그램
ORD-2602-0123,2026-02-12,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,1,12000,0,12000,12000,0.3,3600,4200,4200,완료,카카오선물하기
ORD-2603-0124,2026-03-22,네이버,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,1,24000,0,24000,24000,0.12,2880,8000,13120,완료,네이버검색
ORD-2601-0125,2026-01-23,핫트랙스,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,3,15000,0,15000,45000,0.25,11250,14400,19350,완료,핫트랙스
ORD-2602-0126,2026-02-19,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.3,2400,2400,3200,완료,카카오선물하기
ORD-2602-0127,2026-02-26,29CM,PRD-026,코튼 러그 - S,오롤리데이,러그,2,38000,0,38000,76000,0.2,15200,30000,30800,완료,29CM
ORD-2601-0128,2026-01-11,텐바이텐,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.18,900,1200,2900,완료,텐바이텐
ORD-2601-0129,2026-01-05,29CM,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.2,3200,5200,7600,완료,29CM
ORD-2603-0130,2026-03-18,자사몰,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,2,18000,0,18000,36000,0.035,1260,11600,23140,완료,인스타그램
ORD-2601-0131,2026-01-10,네이버,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.12,1920,5200,8880,완료,네이버검색
ORD-2602-0132,2026-02-04,29CM,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.2,4400,7500,10100,완료,29CM
ORD-2602-0133,2026-02-18,자사몰,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.035,490,4500,9010,완료,인스타그램
ORD-2601-0134,2026-01-22,네이버,PRD-005,에코백 - 올리브,Happier Label,가방,2,25000,0,25000,50000,0.12,6000,17000,27000,완료,네이버검색
ORD-2602-0135,2026-02-06,네이버,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.12,2640,7500,11860,완료,네이버검색
ORD-2602-0136,2026-02-02,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2601-0137,2026-01-17,자사몰,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.035,665,7200,11135,완료,인스타그램
ORD-2603-0138,2026-03-02,자사몰,PRD-020,스티커 세트 - 데일리,PART PART,스티커,4,5000,0,5000,20000,0.035,700,4800,14500,완료,인스타그램
ORD-2601-0139,2026-01-18,29CM,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.2,3600,5800,8600,완료,29CM
ORD-2602-0140,2026-02-15,핫트랙스,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.25,1250,1200,2550,완료,핫트랙스
ORD-2601-0141,2026-01-20,네이버,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.12,5040,12600,24360,완료,쇼핑라이브
ORD-2602-0142,2026-02-13,텐바이텐,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.18,2520,4500,6980,완료,텐바이텐
ORD-2602-0143,2026-02-07,핫트랙스,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.25,1250,1200,2550,완료,핫트랙스
ORD-2601-0144,2026-01-09,자사몰,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,2,15000,0,15000,30000,0.035,1050,9600,19350,완료,카카오채널
ORD-2602-0145,2026-02-15,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,3,8000,0,8000,24000,0.3,7200,7200,9600,완료,카카오선물하기
ORD-2602-0146,2026-02-10,29CM,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.2,4400,7500,10100,완료,29CM
ORD-2603-0147,2026-03-03,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,1,12000,0,12000,12000,0.3,3600,4200,4200,완료,카카오선물하기
ORD-2603-0148,2026-03-02,네이버,PRD-026,코튼 러그 - S,오롤리데이,러그,1,38000,0,38000,38000,0.12,4560,15000,18440,완료,기타
ORD-2602-0149,2026-02-26,핫트랙스,PRD-020,스티커 세트 - 데일리,PART PART,스티커,5,5000,0,5000,25000,0.25,6250,6000,12750,교환,핫트랙스
ORD-2602-0150,2026-02-15,카카오선물하기,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.3,5400,6300,6300,완료,카카오선물하기
ORD-2602-0151,2026-02-02,29CM,PRD-026,코튼 러그 - S,오롤리데이,러그,1,38000,0,38000,38000,0.2,7600,15000,15400,완료,29CM
ORD-2603-0152,2026-03-20,텐바이텐,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.18,2520,4500,6980,완료,텐바이텐
ORD-2602-0153,2026-02-22,네이버,PRD-020,스티커 세트 - 데일리,PART PART,스티커,2,5000,0,5000,10000,0.12,1200,2400,6400,완료,네이버검색
ORD-2601-0154,2026-01-23,텐바이텐,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.18,3960,7500,10540,교환,텐바이텐
ORD-2601-0155,2026-01-07,네이버,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.12,2640,7500,11860,완료,추천
ORD-2601-0156,2026-01-25,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2601-0157,2026-01-06,자사몰,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,2,15000,1500,13500,27000,0.035,945,9600,16455,완료,인스타그램
ORD-2602-0158,2026-02-15,네이버,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.12,1920,5600,8480,완료,네이버검색
ORD-2603-0159,2026-03-15,네이버,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,2,15000,0,15000,30000,0.12,3600,9600,16800,완료,네이버검색
ORD-2602-0160,2026-02-28,자사몰,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,3,18000,0,18000,54000,0.035,1890,18000,34110,완료,인스타그램
