프로젝트ID,프로젝트명,유형,클라이언트,클라이언트유형,위치,면적_m2,시작일,완료일,계약금액,원가,식재종수,주요식물,시즌,만족도,재계약,유입경로
PRJ-2023-015,북촌로 옥상 옥상텃밭,공유정원,서초구청,공공,종로구 북촌로,98,2023-11-11,2024-01-22,8000000,5600000,9,"철쭉, 국화, 단풍나무, 무궁화",가을,4.4,Y,검색
PRJ-2023-016,한남동 갤러리 실내정원,조경설계,송파구청,공공,용산구 한남동,198,2023-10-06,2023-10-31,28000000,18300000,8,"국화, 억새, 세이지, 단풍나무",가을,4.3,Y,인스타그램
PRJ-2023-017,성수동 패션브랜드 식물케어클래스,B2B워크숍,개인,개인,성동구 성수동,37,2023-03-17,2023-03-19,3000000,2000000,7,"벚나무, 비비추, 패랭이꽃, 산철쭉",봄,4.5,Y,검색
PRJ-2023-018,건대입구 아파트 루프탑가든,조경설계,개인 A,개인,광진구 건대입구,178,2023-09-10,2023-10-15,27000000,16700000,8,"구절초, 로즈마리, 비비추, 코스모스",가을,4.5,N,소개
PRJ-2023-019,후암동 쇼룸 시즌정원,팝업정원,무신사,기업,용산구 후암동,85,2023-10-14,2023-10-26,20000000,11900000,7,"수국, 국화, 에키나시아, 비비추",가을,4.4,N,소개
PRJ-2023-020,논현동 빌라 중정원,조경설계,개인 C,개인,강남구 논현동,160,2023-04-09,2023-05-25,26000000,18600000,13,"튤립, 로즈마리, 수선화, 세이지",봄,4.6,Y,소개
PRJ-2024-021,역삼동 오피스 플랜테리어클래스,B2B워크숍,강남구청,공공,강남구 역삼동,54,2024-03-19,2024-03-20,5000000,3300000,3,"코스모스, 목련, 억새",봄,4.4,N,소개
PRJ-2024-022,반포동 아파트 정원관리,유지관리,현대카드,기업,서초구 반포동,111,2024-07-16,2024-07-17,5000000,3700000,11,"눈향나무, 코스모스, 산철쭉, 진달래",여름,4.2,N,소개
PRJ-2024-023,삼청동 단지 커뮤니티가든,공유정원,마포구청,공공,종로구 삼청동,149,2024-04-09,2024-05-30,13000000,9400000,8,"회양목, 라벤더, 단풍나무, 국화",봄,4.3,Y,소개
PRJ-2024-024,후암동 한옥 앞마당정원,조경설계,용산구청,공공,용산구 후암동,104,2024-05-11,2024-06-22,39000000,23600000,7,"진달래, 국화, 자작나무, 목련",봄,4.5,Y,소개
PRJ-2024-025,송정동 레스토랑 앞마당정원,조경설계,서울시청,공공,성동구 송정동,162,2024-04-04,2024-04-24,46000000,27900000,6,"튤립, 라벤더, 비비추, 맥문동",봄,4.1,Y,인스타그램
PRJ-2024-026,문정동 마켓 체험가든,팝업정원,쿠팡,기업,송파구 문정동,37,2024-10-10,2024-10-28,14000000,9300000,9,"벚나무, 구절초, 국화, 단풍나무",가을,4.3,N,소개
PRJ-2024-027,왕십리동 갤러리 중정원,조경설계,현대카드,기업,성동구 왕십리동,97,2024-05-19,2024-06-20,37000000,21200000,7,"로즈마리, 목련, 단풍나무, 서양톱풀",봄,4.2,N,텀블벅
PRJ-2024-028,이태원동 아파트 테라스가든,조경설계,개인 B,개인,용산구 이태원동,108,2024-06-08,2024-08-03,47000000,34800000,11,"남천, 코스모스, 루드베키아, 로즈마리",여름,4.1,Y,소개
PRJ-2024-029,방배동 단지 공유정원,공유정원,개인,개인,서초구 방배동,111,2024-10-09,2024-11-28,8000000,6000000,5,"단풍나무, 철쭉, 코스모스, 수국",가을,4.5,Y,소개
PRJ-2024-030,건대입구 전시 임시정원,팝업정원,개인 D,개인,광진구 건대입구,58,2024-10-18,2024-10-23,22000000,13900000,9,"패랭이꽃, 남천, 산철쭉, 수선화",가을,4.4,N,인스타그램
PRJ-2024-031,이태원동 아파트 정원관리,유지관리,블루보틀 코리아,브랜드,용산구 이태원동,91,2024-04-10,2024-04-12,3000000,1900000,10,"진달래, 에키나시아, 비비추, 국화",봄,4.6,N,검색
PRJ-2024-032,성수동 커뮤니티 옥상텃밭,공유정원,성동구청,공공,성동구 성수동,78,2024-09-15,2024-10-21,19000000,10500000,10,"로즈마리, 맥문동, 구절초, 코스모스",가을,3.9,N,기사
PRJ-2024-033,삼성동 마켓 임시정원,팝업정원,강남구청,공공,강남구 삼성동,37,2024-08-10,2024-08-15,6000000,3700000,11,"세이지, 산철쭉, 루드베키아, 맥문동",여름,4.7,Y,인스타그램
PRJ-2024-034,상암동 레스토랑 테라스가든,조경설계,현대카드,기업,마포구 상암동,148,2024-04-12,2024-06-08,29000000,19700000,12,"튤립, 진달래, 라벤더, 비비추",봄,4.6,N,검색
PRJ-2024-035,상암동 빌라 옥상정원,조경설계,개인 A,개인,마포구 상암동,75,2024-08-07,2024-10-05,26000000,17800000,11,"수국, 로즈마리, 벚나무, 루드베키아",여름,4.7,Y,텀블벅
PRJ-2024-036,후암동 공유 옥상텃밭,공유정원,LG생활건강,기업,용산구 후암동,88,2024-03-15,2024-04-18,9000000,6300000,6,"세이지, 라벤더, 수선화, 목련",봄,4.3,N,텀블벅
PRJ-2024-037,합정동 옥상 옥상텃밭,공유정원,송파구청,공공,마포구 합정동,119,2025-02-08,2025-04-20,7000000,4700000,5,"눈향나무, 서양톱풀, 해바라기, 회양목",겨울,4.3,Y,인스타그램
PRJ-2024-038,잠실동 단지 공유정원,공유정원,나이키 코리아,브랜드,송파구 잠실동,107,2024-10-20,2024-12-15,13000000,7200000,12,"코스모스, 서양톱풀, 산철쭉, 억새",가을,3.8,N,소개
PRJ-2024-039,잠실동 사옥 계절교체,유지관리,쿠팡,기업,송파구 잠실동,48,2024-09-20,2024-09-21,4000000,2900000,7,"억새, 코스모스, 단풍나무, 산철쭉",가을,3.9,N,소개
PRJ-2024-040,삼성동 스타트업 식물케어클래스,B2B워크숍,개인 C,개인,강남구 삼성동,59,2024-11-02,2024-11-05,8000000,5200000,8,"구절초, 수국, 비비추, 맥문동",가을,3.8,N,소개
PRJ-2024-041,한남동 단지 공유정원,공유정원,SM엔터,기업,용산구 한남동,173,2025-02-04,2025-04-29,11000000,7000000,6,"단풍나무, 비비추, 진달래, 서양톱풀",겨울,4.5,Y,소개
PRJ-2024-042,청담동 카페 실내정원,조경설계,개인 D,개인,강남구 청담동,148,2024-11-18,2024-12-29,17000000,10700000,6,"목련, 세이지, 단풍나무, 국화",가을,4.5,N,소개
PRJ-2024-043,방배동 카페 실내정원,조경설계,LG생활건강,기업,서초구 방배동,119,2024-05-09,2024-05-30,21000000,12700000,13,"라벤더, 튤립, 철쭉, 수선화",봄,4.6,Y,소개
PRJ-2024-044,사당동 아파트 루프탑가든,조경설계,카카오,기업,동작구 사당동,109,2024-05-14,2024-07-04,48000000,30600000,9,"세이지, 남천, 구절초, 회양목",봄,4.7,Y,소개
PRJ-2024-045,삼성동 마켓 체험가든,팝업정원,성동구청,공공,강남구 삼성동,94,2024-09-05,2024-09-22,22000000,15200000,11,"억새, 철쭉, 구절초, 코스모스",가을,3.8,N,인스타그램
PRJ-2024-046,삼청동 패션브랜드 테라리움워크숍,B2B워크숍,종로구청,공공,종로구 삼청동,44,2025-02-03,2025-02-05,5000000,3500000,3,"로즈마리, 해바라기, 황금줄사철",겨울,4.8,N,인스타그램
PRJ-2024-047,논현동 사옥 정원관리,유지관리,마포구청,공공,강남구 논현동,142,2024-03-16,2024-03-18,5000000,3400000,7,"코스모스, 튤립, 남천, 해바라기",봄,3.9,N,인스타그램
PRJ-2024-048,왕십리동 단지 공유텃밭,공유정원,CJ제일제당,기업,성동구 왕십리동,163,2024-11-18,2025-02-06,6000000,3800000,12,"국화, 억새, 벚나무, 구절초",가을,4.9,Y,인스타그램
PRJ-2024-049,사당동 공유 공유정원,공유정원,팀코믹스 PHYPS,브랜드,동작구 사당동,152,2024-04-04,2024-06-08,17000000,10300000,13,"철쭉, 벚나무, 목련, 라벤더",봄,4.4,Y,검색
PRJ-2024-050,청담동 팝업 시즌정원,팝업정원,네이버,기업,강남구 청담동,109,2024-09-17,2024-10-08,6000000,4100000,12,"국화, 목련, 억새, 눈향나무",가을,4.2,N,인스타그램
PRJ-2024-051,잠실동 갤러리 계절교체,유지관리,파타고니아 코리아,브랜드,송파구 잠실동,132,2024-04-17,2024-04-19,3000000,2100000,10,"산철쭉, 튤립, 맥문동, 장미",봄,4.7,Y,검색
PRJ-2024-052,성수동 팝업 체험가든,팝업정원,라인,기업,성동구 성수동,77,2024-08-12,2024-08-24,17000000,12700000,10,"루드베키아, 벚나무, 수국, 코스모스",여름,4.7,Y,인스타그램
PRJ-2024-053,상암동 아파트 테라스가든,조경설계,이케아 코리아,브랜드,마포구 상암동,157,2024-09-08,2024-10-24,50000000,35400000,12,"튤립, 목련, 단풍나무, 국화",가을,4.4,N,소개
PRJ-2024-054,방배동 한옥 루프탑가든,조경설계,개인,개인,서초구 방배동,131,2024-06-13,2024-07-26,26000000,18200000,6,"철쭉, 서양톱풀, 루드베키아, 수국",여름,4.3,N,기사
PRJ-2024-055,청담동 패션브랜드 가드닝워크숍,B2B워크숍,무신사 Be Greener,브랜드,강남구 청담동,50,2024-07-07,2024-07-08,4000000,2900000,3,"단풍나무, 에키나시아, 코스모스",여름,4.3,N,인스타그램
PRJ-2025-056,한남동 한옥 중정원,조경설계,올리브영,기업,용산구 한남동,172,2025-03-16,2025-05-06,33000000,24300000,7,"억새, 목련, 벚나무, 튤립",봄,4.2,N,텀블벅
PRJ-2025-057,북촌로 한옥 중정원,조경설계,개인 D,개인,종로구 북촌로,171,2025-08-02,2025-08-26,50000000,31600000,11,"산철쭉, 철쭉, 수국, 루드베키아",여름,4.7,Y,검색
PRJ-2025-058,건대입구 사옥 정원관리,유지관리,개인 B,개인,광진구 건대입구,45,2025-06-06,2025-06-08,5000000,3700000,11,"코스모스, 패랭이꽃, 에키나시아, 해바라기",여름,4.7,N,소개
PRJ-2025-059,상암동 오피스 플랜테리어클래스,B2B워크숍,마포구청,공공,마포구 상암동,45,2025-08-08,2025-08-09,4000000,2800000,5,"라벤더, 세이지, 루드베키아, 해바라기",여름,4.4,N,인스타그램
PRJ-2025-060,역삼동 단지 공유텃밭,공유정원,강남구청,공공,강남구 역삼동,159,2025-11-17,2026-01-08,9000000,6500000,12,"억새, 구절초, 장미, 국화",가을,4.3,N,인스타그램
PRJ-2025-061,역삼동 레스토랑 옥상정원,조경설계,CJ제일제당,기업,강남구 역삼동,184,2025-08-20,2025-10-17,31000000,22300000,9,"장미, 에키나시아, 라벤더, 수국",여름,4.8,N,소개
PRJ-2025-062,한남동 패션브랜드 테라리움워크숍,B2B워크숍,라인,기업,용산구 한남동,75,2025-03-11,2025-03-14,4000000,2500000,7,"서양톱풀, 튤립, 벚나무, 진달래",봄,4.1,Y,인스타그램
PRJ-2025-063,역삼동 쇼룸 임시정원,팝업정원,블루보틀 코리아,브랜드,강남구 역삼동,69,2025-06-16,2025-07-07,19000000,12300000,8,"에키나시아, 무궁화, 튤립, 수국",여름,4.1,Y,기사
PRJ-2025-064,송정동 카페 실내정원,조경설계,라인,기업,성동구 송정동,138,2025-05-07,2025-06-19,45000000,27300000,6,"철쭉, 튤립, 라벤더, 벚나무",봄,4.5,Y,소개
PRJ-2025-065,후암동 단지 커뮤니티가든,공유정원,SM엔터,기업,용산구 후암동,100,2025-05-17,2025-06-24,15000000,11000000,13,"에키나시아, 타임, 눈향나무, 해바라기",봄,4.6,N,인스타그램
PRJ-2025-066,잠실동 오피스 가드닝워크숍,B2B워크숍,CJ제일제당,기업,송파구 잠실동,69,2025-08-16,2025-08-17,7000000,4700000,7,"해바라기, 에키나시아, 수국, 산철쭉",여름,4.2,N,기사
PRJ-2025-067,불광동 스타트업 식물케어클래스,B2B워크숍,개인 A,개인,은평구 불광동,50,2025-11-11,2025-11-14,6000000,3900000,8,"루드베키아, 황금줄사철, 남천, 수선화",가을,4.4,N,검색
PRJ-2025-068,후암동 아파트 계절교체,유지관리,용산구청,공공,용산구 후암동,128,2025-09-19,2025-09-21,5000000,3600000,10,"눈향나무, 황금줄사철, 남천, 로즈마리",가을,4.1,Y,소개
PRJ-2025-069,삼성동 빌라 앞마당정원,조경설계,노스페이스,브랜드,강남구 삼성동,80,2025-04-04,2025-05-02,10000000,7400000,9,"벚나무, 목련, 남천, 수선화",봄,4.8,N,인스타그램
PRJ-2025-070,후암동 아파트 테라스가든,조경설계,나이키 코리아,브랜드,용산구 후암동,125,2025-12-10,2026-02-04,48000000,27400000,7,"무궁화, 해바라기, 서양톱풀, 황금줄사철",겨울,4.0,Y,소개
PRJ-2025-071,논현동 한옥 루프탑가든,조경설계,마포구청,공공,강남구 논현동,87,2025-11-11,2025-12-06,35000000,23900000,11,"단풍나무, 튤립, 남천, 코스모스",가을,4.4,Y,소개
PRJ-2025-072,불광동 사옥 앞마당정원,조경설계,개인 B,개인,은평구 불광동,74,2025-07-12,2025-09-09,24000000,14300000,11,"황금줄사철, 수선화, 세이지, 에키나시아",여름,4.1,Y,텀블벅
PRJ-2025-073,삼청동 단지 공유정원,공유정원,개인 D,개인,종로구 삼청동,125,2025-08-07,2025-10-21,20000000,11400000,11,"로즈마리, 산철쭉, 수국, 무궁화",여름,4.4,Y,인스타그램
PRJ-2025-074,후암동 아파트 루프탑가든,조경설계,팀코믹스 PHYPS,브랜드,용산구 후암동,137,2025-12-05,2026-01-20,33000000,24700000,11,"남천, 맥문동, 회양목, 목련",겨울,4.7,Y,인스타그램
PRJ-2025-075,한남동 오피스 플랜테리어클래스,B2B워크숍,개인 B,개인,용산구 한남동,79,2025-03-04,2025-03-05,8000000,5100000,3,"수국, 회양목, 억새",봄,4.4,N,인스타그램
PRJ-2025-076,송정동 공유 커뮤니티가든,공유정원,네이버,기업,성동구 송정동,172,2025-05-19,2025-07-08,15000000,9000000,9,"수선화, 황금줄사철, 무궁화, 철쭉",봄,4.5,Y,텀블벅
PRJ-2025-077,합정동 레스토랑 루프탑가든,조경설계,배달의민족,기업,마포구 합정동,74,2025-09-18,2025-11-03,36000000,23800000,6,"블루베리, 코스모스, 구절초, 타임",가을,4.3,N,소개
PRJ-2025-078,방배동 갤러리 식물관리,유지관리,쿠팡,기업,서초구 방배동,124,2025-10-10,2025-10-11,3000000,2200000,11,"단풍나무, 튤립, 코스모스, 남천",가을,4.5,Y,검색
PRJ-2025-079,북촌로 마켓 팝업가든,팝업정원,개인 B,개인,종로구 북촌로,104,2025-11-08,2025-11-17,5000000,3000000,10,"단풍나무, 장미, 세이지, 자작나무",가을,4.9,Y,텀블벅
PRJ-2025-080,후암동 카페 실내정원,조경설계,마포구청,공공,용산구 후암동,99,2025-03-03,2025-03-26,10000000,6300000,12,"벚나무, 수선화, 산철쭉, 수국",봄,4.5,N,검색
PRJ-2025-081,역삼동 사옥 실내정원,조경설계,강남구청,공공,강남구 역삼동,130,2025-09-08,2025-10-10,49000000,32100000,12,"단풍나무, 수선화, 남천, 구절초",가을,4.6,Y,검색
PRJ-2025-082,삼성동 카페 식물관리,유지관리,개인 D,개인,강남구 삼성동,39,2025-03-19,2025-03-21,4000000,2200000,10,"수선화, 진달래, 국화, 철쭉",봄,4.7,N,기사
PRJ-2025-083,불광동 옥상 옥상텃밭,공유정원,삼성전자,기업,은평구 불광동,103,2025-09-04,2025-10-31,12000000,8600000,5,"비비추, 남천, 서양톱풀, 황금줄사철",가을,4.4,Y,검색
PRJ-2025-084,논현동 기업 플랜테리어클래스,B2B워크숍,강남구청,공공,강남구 논현동,54,2025-03-13,2025-03-16,8000000,4600000,6,"벚나무, 목련, 튤립, 철쭉",봄,4.3,N,소개
PRJ-2025-085,삼청동 한옥 테라스가든,조경설계,아모레퍼시픽,기업,종로구 삼청동,183,2025-07-14,2025-08-27,15000000,10400000,7,"루드베키아, 코스모스, 철쭉, 눈향나무",여름,4.0,Y,소개
PRJ-2025-086,후암동 사옥 월간케어,유지관리,CJ제일제당,기업,용산구 후암동,72,2025-12-05,2025-12-07,2000000,1500000,11,"벚나무, 맥문동, 남천, 서양톱풀",겨울,4.8,Y,검색
PRJ-2025-087,창신동 옥상 커뮤니티가든,공유정원,개인 B,개인,종로구 창신동,119,2025-05-18,2025-06-28,5000000,3700000,13,"남천, 철쭉, 블루베리, 목련",봄,4.6,N,소개
PRJ-2025-088,불광동 카페 정원관리,유지관리,개인 D,개인,은평구 불광동,112,2025-03-12,2025-03-13,2000000,1300000,5,"튤립, 목련, 진달래, 장미",봄,4.6,Y,기사
PRJ-2025-089,청담동 옥상 공유텃밭,공유정원,개인 B,개인,강남구 청담동,180,2025-09-10,2025-11-05,7000000,4000000,8,"루드베키아, 눈향나무, 코스모스, 에키나시아",가을,4.2,N,검색
PRJ-2025-090,역삼동 레스토랑 실내정원,조경설계,종로구청,공공,강남구 역삼동,99,2025-09-11,2025-11-05,37000000,27400000,12,"패랭이꽃, 황금줄사철, 억새, 단풍나무",가을,4.3,N,검색
PRJ-2025-091,논현동 옥상 옥상텃밭,공유정원,송파구청,공공,강남구 논현동,138,2025-08-16,2025-10-18,15000000,10000000,11,"루드베키아, 코스모스, 해바라기, 수선화",여름,4.6,Y,소개
PRJ-2025-092,불광동 레스토랑 실내정원,조경설계,올리브영,기업,은평구 불광동,155,2025-03-16,2025-04-23,18000000,10600000,8,"라벤더, 로즈마리, 맥문동, 해바라기",봄,4.5,Y,소개
PRJ-2025-093,방배동 레스토랑 루프탑가든,조경설계,서울시청,공공,서초구 방배동,69,2025-05-16,2025-07-10,42000000,24100000,13,"진달래, 라벤더, 튤립, 비비추",봄,4.3,N,인스타그램
PRJ-2025-094,논현동 카페 계절교체,유지관리,개인 A,개인,강남구 논현동,67,2025-08-09,2025-08-10,4000000,3000000,7,"장미, 수국, 코스모스, 루드베키아",여름,4.0,Y,소개
PRJ-2025-095,건대입구 갤러리 월간케어,유지관리,라인,기업,광진구 건대입구,142,2025-03-03,2025-03-05,4000000,2800000,6,"코스모스, 세이지, 타임, 벚나무",봄,4.2,Y,소개
PRJ-2026-096,잠실동 빌라 앞마당정원,조경설계,송파구청,공공,송파구 잠실동,157,2026-03-02,2026-03-28,50000000,35300000,11,"진달래, 황금줄사철, 철쭉, 목련",봄,4.4,Y,소개
PRJ-2026-097,건대입구 옥상 공유정원,공유정원,카카오,기업,광진구 건대입구,116,2026-02-03,2026-03-13,12000000,7800000,7,"수선화, 튤립, 비비추, 수국",겨울,4.0,Y,인스타그램
PRJ-2026-098,사당동 옥상 공유정원,공유정원,마포구청,공공,동작구 사당동,79,2026-03-06,2026-03-20,11000000,7400000,6,"수선화, 튤립, 맥문동, 벚나무",봄,4.1,Y,소개
PRJ-2026-099,불광동 아파트 옥상정원,조경설계,개인,개인,은평구 불광동,53,2026-03-17,2026-03-26,35000000,21300000,12,"산철쭉, 비비추, 수선화, 튤립",봄,4.5,Y,소개
PRJ-2026-100,논현동 팝업 체험가든,팝업정원,무신사,기업,강남구 논현동,40,2026-02-17,2026-03-07,18000000,12400000,6,"목련, 남천, 회양목, 눈향나무",겨울,4.5,N,인스타그램
PRJ-2026-101,합정동 사옥 정원관리,유지관리,성동구청,공공,마포구 합정동,114,2026-01-15,2026-01-16,4000000,2700000,7,"서양톱풀, 벚나무, 눈향나무, 수국",봄,4.1,Y,검색
PRJ-2026-102,홍대입구 아파트 정원관리,유지관리,강남구청,공공,마포구 홍대입구,102,2026-02-17,2026-02-19,2000000,1300000,13,"구절초, 튤립, 진달래, 세이지",봄,4.8,N,검색
PRJ-2026-103,합정동 갤러리 루프탑가든,조경설계,용산구청,공공,마포구 합정동,168,2026-02-09,2026-03-05,46000000,28700000,11,"구절초, 라벤더, 남천, 블루베리",가을,4.3,N,검색
PRJ-2026-104,논현동 갤러리 옥상정원,조경설계,삼성전자,기업,강남구 논현동,42,2026-02-01,2026-03-07,44000000,27200000,6,"황금줄사철, 장미, 타임, 수국",겨울,4.7,Y,기사
PRJ-2026-105,북촌로 사옥 실내정원,조경설계,하이브,기업,종로구 북촌로,185,2026-03-05,2026-03-28,35000000,19800000,9,"코스모스, 라벤더, 세이지, 눈향나무",가을,4.1,Y,소개
PRJ-2026-106,북촌로 펜션 중정원,조경설계,개인 A,개인,종로구 북촌로,117,2026-02-04,2026-03-01,20000000,14200000,7,"튤립, 회양목, 진달래, 벚나무",봄,4.3,Y,인스타그램
PRJ-2026-107,삼성동 팝업 임시정원,팝업정원,파타고니아 코리아,브랜드,강남구 삼성동,81,2026-01-02,2026-01-14,9000000,5300000,11,"남천, 회양목, 눈향나무, 매화",겨울,3.8,Y,소개
PRJ-2026-108,사당동 커뮤니티 옥상텃밭,공유정원,서초구청,공공,동작구 사당동,64,2026-03-06,2026-03-19,19000000,13800000,12,"라벤더, 패랭이꽃, 해바라기, 수선화",봄,4.6,N,인스타그램
PRJ-2026-109,후암동 쇼룸 체험가든,팝업정원,용산구청,공공,용산구 후암동,65,2026-01-01,2026-01-16,24000000,14300000,7,"튤립, 진달래, 세이지, 코스모스",봄,4.8,N,소개
PRJ-2026-110,역삼동 아파트 계절교체,유지관리,쿠팡,기업,강남구 역삼동,133,2026-01-12,2026-01-13,3000000,2200000,6,"억새, 단풍나무, 회양목, 패랭이꽃",가을,4.2,N,검색
PRJ-2026-111,삼청동 카페 식물관리,유지관리,무신사,기업,종로구 삼청동,77,2026-03-05,2026-03-06,4000000,3000000,9,"벚나무, 철쭉, 구절초, 라벤더",봄,4.7,N,검색
PRJ-2026-112,불광동 레스토랑 옥상정원,조경설계,개인 B,개인,은평구 불광동,194,2026-01-19,2026-03-05,46000000,25600000,12,"철쭉, 벚나무, 튤립, 진달래",봄,4.2,Y,인스타그램
PRJ-2026-113,이태원동 한옥 루프탑가든,조경설계,네이버,기업,용산구 이태원동,187,2026-02-18,2026-03-16,40000000,28300000,5,"목련, 수선화, 벚나무, 억새",봄,4.0,N,소개
PRJ-2026-114,문정동 패션브랜드 가드닝워크숍,B2B워크숍,개인 D,개인,송파구 문정동,36,2026-03-06,2026-03-09,6000000,3500000,5,"해바라기, 남천, 철쭉, 단풍나무",가을,3.9,N,인스타그램
PRJ-2026-115,사당동 펜션 옥상정원,조경설계,현대카드,기업,동작구 사당동,60,2026-01-07,2026-02-06,50000000,30400000,11,"코스모스, 해바라기, 비비추, 구절초",여름,4.2,Y,인스타그램
PRJ-2026-116,왕십리동 빌라 실내정원,조경설계,현대카드,기업,성동구 왕십리동,147,2026-03-08,2026-03-15,34000000,24300000,9,"구절초, 해바라기, 억새, 튤립",가을,4.9,Y,검색
PRJ-2026-117,건대입구 공유 옥상텃밭,공유정원,나이키 코리아,브랜드,광진구 건대입구,169,2026-01-03,2026-02-26,17000000,11200000,11,"남천, 눈향나무, 회양목, 매화",겨울,5.0,N,기사
PRJ-2026-118,역삼동 한옥 옥상정원,조경설계,서울시청,공공,강남구 역삼동,52,2026-03-13,2026-03-21,31000000,21300000,9,"튤립, 타임, 벚나무, 수선화",봄,4.3,Y,소개
PRJ-2026-119,이태원동 공유 공유정원,공유정원,개인 C,개인,용산구 이태원동,168,2026-01-03,2026-02-21,17000000,9800000,5,"진달래, 수선화, 무궁화, 회양목",봄,4.5,N,인스타그램
PRJ-2026-120,북촌로 단지 커뮤니티가든,공유정원,개인 C,개인,종로구 북촌로,93,2026-03-18,2026-03-20,10000000,7200000,5,"철쭉, 억새, 진달래, 블루베리",봄,4.5,Y,인스타그램
