콘텐츠ID,게시일,콘텐츠유형,제목,주제카테고리,제작자,광고여부,광고비,도달수,좋아요,댓글,저장,공유,링크클릭,프로필방문,자사몰유입,주문건수,주문금액
IG-260201-34,2026-02-01,캐러셀,해피어마트 성수 오픈 비하인드,작업실 투어,소니,오가닉,0,10599,1468,70,558,124,72,99,50,1,26437
IG-260207-35,2026-02-07,릴스,실제 사용자 후기 모음,고객 리뷰,썸머,오가닉,0,12645,1324,85,192,38,37,235,24,1,30808
IG-260211-36,2026-02-11,단일이미지,발렌타인 기프트 추천,시즌 캠페인,롤리,오가닉,0,7290,519,59,141,79,51,99,23,0,0
IG-260314-37,2026-03-14,단일이미지,롤리의 작업실 하루,일상 브이로그,소니,광고,30000,14735,1345,54,91,69,105,211,69,3,103299
IG-260210-38,2026-02-10,릴스,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,에이미,오가닉,0,31589,2370,195,575,186,141,229,79,2,59760
IG-260315-39,2026-03-15,릴스,팔로워 감사 이벤트,이벤트,롤리,오가닉,0,22354,2664,222,410,316,67,295,35,1,32664
IG-260105-40,2026-01-05,캐러셀,해피어마트 연남 방문기,매장 소개,소니,오가닉,0,8472,468,146,483,204,75,132,32,2,34450
IG-260127-41,2026-01-27,릴스,Happier Label 미니 파우치 신색상 출시,신제품 출시,소니,광고,200000,95725,7308,400,428,152,444,1043,259,13,321230
IG-260301-42,2026-03-01,릴스,오롤리데이 팀원 소개,팀 소개,조이,오가닉,0,27328,2632,151,296,307,46,396,29,2,44652
IG-260323-43,2026-03-23,스토리하이라이트,도쿄 문구박람회 현장,해외 전시,롤리,광고,100000,7942,0,0,0,66,250,125,101,7,244475
IG-260104-44,2026-01-04,캐러셀,해피어마트 성수 오픈 비하인드,작업실 투어,소니,오가닉,0,14787,2115,275,500,383,175,266,132,5,131770
IG-260316-45,2026-03-16,릴스,실제 사용자 후기 모음,고객 리뷰,소니,오가닉,0,20534,2208,117,272,290,78,284,32,1,14154
IG-260310-46,2026-03-10,스토리하이라이트,2026 문구 트렌드,트렌드,소니,오가닉,0,2385,0,0,0,70,121,24,76,1,23410
IG-260107-47,2026-01-07,캐러셀,팔로워 감사 이벤트,이벤트,썸머,오가닉,0,13020,1560,213,293,271,146,305,116,4,128656
IG-260118-48,2026-01-18,캐러셀,오롤리데이 팀원 소개,팀 소개,썸머,오가닉,0,6991,985,106,235,76,62,59,36,2,24854
IG-260214-49,2026-02-14,스토리하이라이트,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,롤리,오가닉,0,4876,0,0,0,102,111,86,56,3,59751
IG-260223-50,2026-02-23,단일이미지,선물포장 과정 ASMR,패키징,썸머,광고,30000,10539,692,30,59,40,94,77,50,1,17265
