feedback_id,수집일시,출처,발화자,발화자역할,대상_컴포넌트,대상_버전,피드백_원문,긴급도,진행상태,담당자,최근_업데이트일
FB-260320-0013,2026-03-20 21:56,카카오톡,외부테스터_A,외부,가이드라인_PDF_출력,v0.8,가이드라인 PDF 출력 여백이 좁아 보임. 패딩 16px → 24px.,하,보류,디자이너B,2026-03-22
FB-260321-0014,2026-03-21 18:35,카카오톡,디자이너B,디자이너,모바일_프리뷰,v0.7,모바일 프리뷰 모바일에서 텍스트가 줄바꿈 이상하게 됨.,하,반영_완료,디자이너B,2026-03-25
FB-260322-0088,2026-03-22 12:50,카카오톡,외부테스터_B,외부,온보딩_화면,v0.5,온보딩 화면 부분 조금 더 깔끔하게 가능할까요?,하,반영_완료,안용균,2026-03-23
FB-260322-0026,2026-03-22 15:34,회의_구두,외부테스터_A,외부,색상_대비_체크,v0.8,색상 대비 체크 보다가 멈칫함. 직관적이지 않은 느낌.,중,반영_완료,이정표,2026-03-26
FB-260323-0059,2026-03-23 12:30,회의_구두,외부테스터_A,외부,버전_히스토리,v0.8,버전 히스토리 좀 이상해요. 다시 봐주세요.,하,반영_완료,안용균,2026-03-25
FB-260323-0002,2026-03-23 12:38,회의_구두,양재호,대표,공용_컴포넌트_라이브러리,v0.8,공용 컴포넌트 라이브러리 부분 조금 더 깔끔하게 가능할까요?,중,보류,이정표,2026-03-25
FB-260323-0036,2026-03-23 13:04,회의_구두,외부테스터_B,외부,색상_대비_체크,v0.4,색상 대비 체크 저장 버튼이 우측 하단에 있어야 자연스러움.,중,반영_완료,안용균,2026-03-29
FB-260323-0038,2026-03-23 15:37,카카오톡,외부테스터_B,외부,팀원_초대,v0.5,팀원 초대가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,디자이너B,2026-04-02
FB-260323-0072,2026-03-23 16:39,회의_구두,이가영,외부-서가클,로고_업로더,v0.5,로고 업로더가 좀 아쉬움. 뭔가 허전해.,하,반영_완료,디자이너B,2026-03-30
FB-260323-0008,2026-03-23 18:25,카카오톡,이가영,외부-서가클,타이포그래피_설정,v0.5,타이포그래피 설정 모바일에서 텍스트가 줄바꿈 이상하게 됨.,중,반영_완료,디자이너B,2026-03-29
FB-260323-0114,2026-03-23 21:22,회의_구두,외부테스터_B,외부,색상_대비_체크,v0.5,색상 대비 체크가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,이정표,2026-04-02
FB-260324-0041,2026-03-24 11:44,카카오톡,이가영,외부-서가클,가이드라인_PDF_출력,v0.4,가이드라인 PDF 출력 부분 조금 더 깔끔하게 가능할까요?,중,보류,디자이너B,2026-03-29
FB-260324-0044,2026-03-24 14:09,카카오톡,민정원,기획,브랜드북_내보내기,v0.6,브랜드북 내보내기 툴팁 위치가 잘려서 보여요. 우측으로 이동.,상,보류,안용균,2026-04-02
FB-260324-0007,2026-03-24 18:53,카카오톡,양재호,대표,로고_업로더,v0.6,로고 업로더 좀 이상해요. 다시 봐주세요.,중,보류,디자이너B,2026-03-29
FB-260324-0105,2026-03-24 19:54,회의_구두,양재호,대표,색상_대비_체크,v0.6,색상 대비 체크 느낌이 안 사는데 톤 재검토 필요.,하,반영_완료,안용균,2026-03-29
FB-260325-0032,2026-03-25 11:44,카카오톡,안용균,디자이너,로고_업로더,v0.7,로고 업로더 부분 조금 더 깔끔하게 가능할까요?,중,보류,이정표,2026-03-28
FB-260325-0083,2026-03-25 15:42,테스트메모,양재호,대표,팀원_초대,v0.6,팀원 초대 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,상,보류,디자이너B,2026-03-29
FB-260325-0021,2026-03-25 21:50,카카오톡,이가영,외부-서가클,공용_컴포넌트_라이브러리,v0.8,공용 컴포넌트 라이브러리 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,상,반영_완료,이정표,2026-04-03
FB-260325-0028,2026-03-25 21:54,카카오톡,양재호,대표,브랜드북_내보내기,v0.6,브랜드북 내보내기 느낌이 안 사는데 톤 재검토 필요.,하,반영_완료,안용균,2026-03-27
FB-260326-0060,2026-03-26 08:34,카카오톡,디자이너B,디자이너,로고_업로더,v0.8,로고 업로더 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,반영_완료,이정표,2026-03-26
FB-260326-0104,2026-03-26 13:36,카카오톡,민정원,기획,팀원_초대,v0.5,팀원 초대 로딩 상태 표시 빠져있음. 스피너 필요.,하,반영_완료,안용균,2026-04-04
FB-260326-0011,2026-03-26 15:29,회의록,양재호,대표,공용_컴포넌트_라이브러리,v0.6,공용 컴포넌트 라이브러리 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,반영_완료,디자이너B,2026-03-30
FB-260326-0085,2026-03-26 22:18,회의록,양재호,대표,색상_대비_체크,v0.7,색상 대비 체크 보다가 멈칫함. 직관적이지 않은 느낌.,하,반영_완료,이정표,2026-04-04
FB-260327-0116,2026-03-27 11:04,카카오톡,이가영,외부-서가클,온보딩_화면,v0.6,온보딩 화면 느낌이 안 사는데 톤 재검토 필요.,중,반영_완료,안용균,2026-03-27
FB-260327-0048,2026-03-27 13:56,카카오톡,외부테스터_C,외부,브랜드북_내보내기,v0.6,브랜드북 내보내기 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,상,반영_완료,안용균,2026-03-30
FB-260327-0102,2026-03-27 18:23,회의_구두,디자이너B,디자이너,팀원_초대,v0.4,팀원 초대 좀 이상해요. 다시 봐주세요.,상,반영_완료,디자이너B,2026-04-01
FB-260328-0009,2026-03-28 12:08,카카오톡,이가영,외부-서가클,로고_업로더,v0.4,로고 업로더가 좀 아쉬움. 뭔가 허전해.,하,반영_완료,이정표,2026-04-03
FB-260328-0107,2026-03-28 13:20,테스트메모,안용균,디자이너,타이포그래피_설정,v0.5,타이포그래피 설정 헤더 폰트가 너무 커요. 22pt → 18pt로.,중,반영_완료,디자이너B,2026-04-03
FB-260328-0070,2026-03-28 14:20,테스트메모,안용균,디자이너,대시보드,v0.7,대시보드 저장 버튼이 우측 하단에 있어야 자연스러움.,중,반영_완료,디자이너B,2026-03-28
FB-260328-0097,2026-03-28 19:15,카카오톡,외부테스터_B,외부,온보딩_화면,v0.4,온보딩 화면 부분 조금 더 깔끔하게 가능할까요?,중,반영_완료,안용균,2026-04-04
FB-260329-0112,2026-03-29 09:20,테스트메모,디자이너B,디자이너,모바일_프리뷰,v0.7,모바일 프리뷰 로딩 상태 표시 빠져있음. 스피너 필요.,상,보류,이정표,2026-04-04
FB-260329-0055,2026-03-29 13:31,카카오톡,외부테스터_B,외부,가이드라인_PDF_출력,v0.6,가이드라인 PDF 출력 로딩 상태 표시 빠져있음. 스피너 필요.,중,반영_완료,안용균,2026-04-06
FB-260329-0010,2026-03-29 17:29,회의록,외부테스터_A,외부,로고_업로더,v0.4,로고 업로더 모바일에서 텍스트가 줄바꿈 이상하게 됨.,하,반영_완료,안용균,2026-03-30
FB-260329-0111,2026-03-29 20:02,카카오톡,외부테스터_C,외부,컬러팔레트_에디터,v0.6,컬러팔레트 에디터 보다가 멈칫함. 직관적이지 않은 느낌.,중,반영_완료,안용균,2026-03-30
FB-260329-0015,2026-03-29 22:41,카카오톡,외부테스터_B,외부,버전_히스토리,v0.7,버전 히스토리가 좀 아쉬움. 뭔가 허전해.,상,반영_완료,디자이너B,2026-04-01
FB-260330-0030,2026-03-30 11:19,테스트메모,외부테스터_B,외부,로고_업로더,v0.6,로고 업로더가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,디자이너B,2026-04-05
FB-260330-0019,2026-03-30 11:29,테스트메모,민정원,기획,컬러팔레트_에디터,v0.7,컬러팔레트 에디터 모바일에서 텍스트가 줄바꿈 이상하게 됨.,상,반영_완료,디자이너B,2026-03-30
FB-260330-0054,2026-03-30 19:37,카카오톡,외부테스터_A,외부,가이드라인_PDF_출력,v0.4,가이드라인 PDF 출력 부분 조금 더 깔끔하게 가능할까요?,중,반영_완료,디자이너B,2026-04-09
FB-260330-0040,2026-03-30 20:36,회의_구두,민정원,기획,브랜드북_내보내기,v0.7,브랜드북 내보내기 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,반영_완료,이정표,2026-04-05
FB-260330-0093,2026-03-30 21:17,회의_구두,양재호,대표,가이드라인_PDF_출력,v0.7,가이드라인 PDF 출력가 좀 아쉬움. 뭔가 허전해.,하,반영_완료,디자이너B,2026-04-04
FB-260330-0053,2026-03-30 21:40,회의_구두,이가영,외부-서가클,브랜드북_내보내기,v0.5,브랜드북 내보내기 저장 버튼이 우측 하단에 있어야 자연스러움.,중,보류,안용균,2026-04-06
FB-260331-0071,2026-03-31 10:16,카카오톡,외부테스터_B,외부,브랜드북_내보내기,v0.8,브랜드북 내보내기 헤더 폰트가 너무 커요. 22pt → 18pt로.,중,반영_완료,안용균,2026-03-31
FB-260331-0081,2026-03-31 11:19,카카오톡,양재호,대표,로고_업로더,v0.6,로고 업로더 부분 조금 더 깔끔하게 가능할까요?,상,반영_완료,디자이너B,2026-04-10
FB-260331-0121,2026-03-31 15:05,카카오톡,외부테스터_B,대표,로고_업로더,v0.7,로고 업로더 드래그앤드랍이 안 먹히는데요.,상,접수,이정표,2026-03-31
FB-260331-0122,2026-03-31 15:19,카카오톡,외부테스터_B,대표,로고_업로더,v0.7,로고 업로더 드래그앤드랍이 안 먹히는데요.,상,접수,이정표,2026-03-31
FB-260331-0118,2026-03-31 21:36,카카오톡,민정원,기획,팀원_초대,v0.8,팀원 초대 좀 이상해요. 다시 봐주세요.,중,보류,안용균,2026-04-01
FB-260331-0089,2026-03-31 22:09,테스트메모,민정원,기획,공용_컴포넌트_라이브러리,v0.7,공용 컴포넌트 라이브러리 모바일에서 텍스트가 줄바꿈 이상하게 됨.,중,반영_완료,이정표,2026-04-04
FB-260401-0046,2026-04-01 12:27,카카오톡,이가영,외부-서가클,대시보드,v0.7,대시보드 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,하,보류,디자이너B,2026-04-01
FB-260401-0065,2026-04-01 13:14,회의_구두,외부테스터_A,외부,공용_컴포넌트_라이브러리,v0.7,공용 컴포넌트 라이브러리가 좀 아쉬움. 뭔가 허전해.,하,반영_완료,디자이너B,2026-04-10
FB-260401-0108,2026-04-01 17:26,카카오톡,외부테스터_A,외부,버전_히스토리,v0.4,버전 히스토리 좀 이상해요. 다시 봐주세요.,중,반영_완료,안용균,2026-04-09
FB-260401-0099,2026-04-01 20:27,카카오톡,안용균,디자이너,팀원_초대,v0.4,팀원 초대 로딩 상태 표시 빠져있음. 스피너 필요.,중,수정중,안용균,2026-04-10
FB-260401-0078,2026-04-01 22:08,테스트메모,외부테스터_B,외부,팀원_초대,v0.4,팀원 초대 부분 조금 더 깔끔하게 가능할까요?,상,테스트_대기,디자이너B,2026-04-03
FB-260402-0035,2026-04-02 11:57,카카오톡,민정원,기획,공용_컴포넌트_라이브러리,v0.7,공용 컴포넌트 라이브러리 보다가 멈칫함. 직관적이지 않은 느낌.,중,보류,디자이너B,2026-04-12
FB-260402-0024,2026-04-02 13:16,회의_구두,민정원,기획,대시보드,v0.5,대시보드가 좀 아쉬움. 뭔가 허전해.,중,테스트_대기,안용균,2026-04-03
FB-260402-0119,2026-04-02 18:02,회의_구두,민정원,기획,팀원_초대,v0.8,팀원 초대 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,보류,안용균,2026-04-08
FB-260403-0075,2026-04-03 11:12,테스트메모,디자이너B,디자이너,온보딩_화면,v0.7,온보딩 화면 모바일에서 텍스트가 줄바꿈 이상하게 됨.,중,수정중,디자이너B,2026-04-07
FB-260403-0090,2026-04-03 11:23,회의_구두,외부테스터_A,외부,색상_대비_체크,v0.6,색상 대비 체크가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,디자이너B,2026-04-08
FB-260403-0058,2026-04-03 13:44,카카오톡,이가영,외부-서가클,온보딩_화면,v0.5,온보딩 화면가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,디자이너B,2026-04-05
FB-260403-0094,2026-04-03 20:41,카카오톡,외부테스터_B,외부,온보딩_화면,v0.5,온보딩 화면 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,상,테스트_대기,디자이너B,2026-04-12
FB-260404-0051,2026-04-04 09:19,카카오톡,외부테스터_C,외부,공용_컴포넌트_라이브러리,v0.5,공용 컴포넌트 라이브러리가 좀 아쉬움. 뭔가 허전해.,상,반영_완료,디자이너B,2026-04-13
FB-260404-0016,2026-04-04 12:04,카카오톡,양재호,대표,로고_업로더,v0.6,로고 업로더가 좀 아쉬움. 뭔가 허전해.,중,반영_완료,디자이너B,2026-04-06
FB-260404-0061,2026-04-04 12:30,카카오톡,이가영,외부-서가클,로고_업로더,v0.6,로고 업로더 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,상,수정중,안용균,2026-04-05
FB-260404-0113,2026-04-04 14:05,테스트메모,외부테스터_C,외부,공용_컴포넌트_라이브러리,v0.6,공용 컴포넌트 라이브러리가 좀 아쉬움. 뭔가 허전해.,상,반영_완료,디자이너B,2026-04-12
FB-260404-0062,2026-04-04 18:03,카카오톡,디자이너B,디자이너,모바일_프리뷰,v0.6,모바일 프리뷰가 좀 아쉬움. 뭔가 허전해.,상,반영_완료,디자이너B,2026-04-13
FB-260404-0050,2026-04-04 21:29,회의_구두,외부테스터_A,외부,타이포그래피_설정,v0.8,타이포그래피 설정 좀 이상해요. 다시 봐주세요.,하,테스트_대기,안용균,2026-04-05
FB-260405-0039,2026-04-05 13:52,회의_구두,민정원,기획,가이드라인_PDF_출력,v0.5,가이드라인 PDF 출력 좀 이상해요. 다시 봐주세요.,중,반영_완료,이정표,2026-04-12
FB-260405-0031,2026-04-05 19:59,테스트메모,민정원,기획,타이포그래피_설정,v0.7,타이포그래피 설정 느낌이 안 사는데 톤 재검토 필요.,하,반영_완료,디자이너B,2026-04-08
FB-260406-0087,2026-04-06 10:40,카카오톡,양재호,대표,팀원_초대,v0.4,팀원 초대가 좀 아쉬움. 뭔가 허전해.,상,테스트_대기,디자이너B,2026-04-12
FB-260406-0049,2026-04-06 10:41,회의_구두,양재호,대표,가이드라인_PDF_출력,v0.5,가이드라인 PDF 출력 다크모드 미지원. 우선순위는 낮지만 일정 짚어주세요.,상,테스트_대기,디자이너B,2026-04-07
FB-260406-0001,2026-04-06 10:47,카카오톡,외부테스터_A,외부,타이포그래피_설정,v0.4,타이포그래피 설정 모바일에서 텍스트가 줄바꿈 이상하게 됨.,상,반영_완료,이정표,2026-04-07
FB-260406-0100,2026-04-06 17:45,카카오톡,외부테스터_B,외부,모바일_프리뷰,v0.8,모바일 프리뷰 보다가 멈칫함. 직관적이지 않은 느낌.,중,수정중,디자이너B,2026-04-07
FB-260406-0084,2026-04-06 22:44,카카오톡,외부테스터_A,외부,온보딩_화면,v0.5,온보딩 화면 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,상,반영_완료,안용균,2026-04-15
FB-260407-0109,2026-04-07 13:14,회의록,외부테스터_C,외부,로고_업로더,v0.4,로고 업로더가 좀 아쉬움. 뭔가 허전해.,하,반영_완료,안용균,2026-04-12
FB-260407-0066,2026-04-07 19:12,카카오톡,외부테스터_C,외부,가이드라인_PDF_출력,v0.5,가이드라인 PDF 출력 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,상,테스트_대기,안용균,2026-04-16
FB-260408-0045,2026-04-08 09:56,카카오톡,외부테스터_C,외부,대시보드,v0.6,대시보드 툴팁 위치가 잘려서 보여요. 우측으로 이동.,중,반영_완료,디자이너B,2026-04-11
FB-260408-0123,2026-04-08 12:38,카카오톡,외부테스터_B,대표,로고_업로더,v0.7,로고 업로더 드래그앤드랍이 안 먹히는데요.,상,접수,이정표,2026-04-08
FB-260408-0037,2026-04-08 13:08,카카오톡,민정원,기획,브랜드북_내보내기,v0.5,브랜드북 내보내기 저장 버튼이 우측 하단에 있어야 자연스러움.,중,반영_완료,안용균,2026-04-12
FB-260408-0003,2026-04-08 14:17,카카오톡,디자이너B,디자이너,대시보드,v0.4,대시보드 좀 이상해요. 다시 봐주세요.,중,반영_완료,안용균,2026-04-08
FB-260408-0006,2026-04-08 21:41,회의_구두,안용균,디자이너,타이포그래피_설정,v0.8,타이포그래피 설정 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,테스트_대기,디자이너B,2026-04-16
FB-260409-0004,2026-04-09 15:07,카카오톡,외부테스터_C,외부,온보딩_화면,v0.8,온보딩 화면 로딩 상태 표시 빠져있음. 스피너 필요.,중,수정중,이정표,2026-04-12
FB-260409-0029,2026-04-09 15:45,회의_구두,외부테스터_C,외부,컬러팔레트_에디터,v0.4,컬러팔레트 에디터 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,중,수정중,디자이너B,2026-04-11
FB-260409-0086,2026-04-09 16:57,회의_구두,외부테스터_A,외부,가이드라인_PDF_출력,v0.8,가이드라인 PDF 출력 오타 있음: '팔렛트' → '팔레트'.,중,액션_확정,디자이너B,2026-04-11
FB-260409-0022,2026-04-09 17:47,카카오톡,외부테스터_B,외부,모바일_프리뷰,v0.7,모바일 프리뷰 보다가 멈칫함. 직관적이지 않은 느낌.,상,테스트_대기,이정표,2026-04-11
FB-260409-0067,2026-04-09 19:58,카카오톡,외부테스터_A,외부,팀원_초대,v0.6,팀원 초대 저장 버튼이 우측 하단에 있어야 자연스러움.,중,액션_확정,이정표,2026-04-09
FB-260409-0017,2026-04-09 21:36,카카오톡,이가영,외부-서가클,팀원_초대,v0.7,팀원 초대 좀 이상해요. 다시 봐주세요.,중,액션_확정,안용균,2026-04-16
FB-260410-0096,2026-04-10 11:57,카카오톡,양재호,대표,타이포그래피_설정,v0.5,타이포그래피 설정가 좀 아쉬움. 뭔가 허전해.,상,테스트_대기,이정표,2026-04-10
FB-260410-0005,2026-04-10 13:05,테스트메모,민정원,기획,브랜드북_내보내기,v0.6,브랜드북 내보내기 로딩 상태 표시 빠져있음. 스피너 필요.,상,액션_확정,디자이너B,2026-04-12
FB-260410-0098,2026-04-10 13:37,카카오톡,안용균,디자이너,가이드라인_PDF_출력,v0.8,가이드라인 PDF 출력 보다가 멈칫함. 직관적이지 않은 느낌.,중,액션_확정,이정표,2026-04-10
FB-260410-0120,2026-04-10 13:38,회의_구두,양재호,대표,색상_대비_체크,v0.6,색상 대비 체크 좀 이상해요. 다시 봐주세요.,중,액션_확정,안용균,2026-04-15
FB-260410-0043,2026-04-10 19:31,카카오톡,민정원,기획,컬러팔레트_에디터,v0.6,컬러팔레트 에디터 느낌이 안 사는데 톤 재검토 필요.,중,액션_확정,이정표,2026-04-11
FB-260410-0042,2026-04-10 20:39,테스트메모,외부테스터_C,외부,버전_히스토리,v0.7,버전 히스토리 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,중,수정중,디자이너B,2026-04-12
FB-260411-0057,2026-04-11 08:18,카카오톡,민정원,기획,가이드라인_PDF_출력,v0.6,가이드라인 PDF 출력 로딩 상태 표시 빠져있음. 스피너 필요.,중,액션_확정,안용균,2026-04-16
FB-260411-0103,2026-04-11 11:03,회의_구두,외부테스터_B,외부,브랜드북_내보내기,v0.6,브랜드북 내보내기 툴팁 위치가 잘려서 보여요. 우측으로 이동.,하,수정중,안용균,2026-04-15
FB-260411-0082,2026-04-11 11:11,회의_구두,안용균,디자이너,브랜드북_내보내기,v0.8,브랜드북 내보내기 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,하,접수,안용균,2026-04-16
FB-260411-0052,2026-04-11 11:36,카카오톡,양재호,대표,브랜드북_내보내기,v0.6,브랜드북 내보내기 느낌이 안 사는데 톤 재검토 필요.,상,액션_확정,안용균,2026-04-11
FB-260411-0063,2026-04-11 18:49,카카오톡,외부테스터_C,외부,팀원_초대,v0.6,팀원 초대 툴팁 위치가 잘려서 보여요. 우측으로 이동.,중,액션_확정,디자이너B,2026-04-16
FB-260412-0076,2026-04-12 17:42,테스트메모,이가영,외부-서가클,팀원_초대,v0.8,팀원 초대 느낌이 안 사는데 톤 재검토 필요.,중,액션_확정,안용균,2026-04-14
FB-260412-0012,2026-04-12 18:38,카카오톡,민정원,기획,타이포그래피_설정,v0.8,타이포그래피 설정 모바일에서 텍스트가 줄바꿈 이상하게 됨.,하,액션_확정,안용균,2026-04-12
FB-260413-0077,2026-04-13 11:44,회의_구두,민정원,기획,가이드라인_PDF_출력,v0.7,가이드라인 PDF 출력 부분 조금 더 깔끔하게 가능할까요?,하,수정중,안용균,2026-04-14
FB-260413-0080,2026-04-13 17:39,카카오톡,안용균,디자이너,색상_대비_체크,v0.6,색상 대비 체크 여백이 좁아 보임. 패딩 16px → 24px.,중,접수,디자이너B,2026-04-13
FB-260413-0018,2026-04-13 18:43,카카오톡,안용균,디자이너,공용_컴포넌트_라이브러리,v0.6,공용 컴포넌트 라이브러리 여백이 좁아 보임. 패딩 16px → 24px.,중,해석_대기,안용균,2026-04-14
FB-260413-0101,2026-04-13 18:56,카카오톡,민정원,기획,가이드라인_PDF_출력,v0.7,가이드라인 PDF 출력 아이콘 정렬이 삐뚤어 보임. baseline 맞춰주세요.,중,수정중,안용균,2026-04-16
FB-260414-0068,2026-04-14 15:20,카카오톡,외부테스터_A,외부,가이드라인_PDF_출력,v0.8,가이드라인 PDF 출력 좀 이상해요. 다시 봐주세요.,하,해석_대기,안용균,2026-04-16
FB-260415-0047,2026-04-15 14:36,카카오톡,양재호,대표,브랜드북_내보내기,v0.5,브랜드북 내보내기 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,상,접수,이정표,2026-04-16
FB-260415-0091,2026-04-15 17:41,회의_구두,안용균,디자이너,팀원_초대,v0.6,팀원 초대 여백이 좁아 보임. 패딩 16px → 24px.,상,액션_확정,안용균,2026-04-16
